"mRNA","Time","Gene","ABF1","ACE2","ADR1","ARG80","ARG81","ARO80","ASH1","BAS1","CAD1","CBF1","CIN5","CRZ1","CUP9","DAL81","DAL82","DIG1","DOT6","FHL1","FKH1","FKH2","FZF1","GAL4","GAT1","GAT3","GCN4","GCR1","GCR2","GLN3","GTS1","HAA1","HAL9","HAP2","HAP3","HAP4","HAP5","HIR1","HIR2","HMS1","HSF1","IME4","INO2","INO4","IXR1","LEU3","MAC1","MAL13","MAL33","MATa1","MCM1_YPD","MET31","MET4","MIG1","MOT3","MSN1","MSN2","MSN4","MSS11","NDD1","NRG1","PDR1","PHD1","PHO4","PUT3","RAP1","RCS1","REB1","RFX1","RGM1","RLM1","RME1","ROX1","RPH1","RTG1","RTG3","SFL1","SFP1","SIP4","SKN7","SKO1","SMP1","SOK2","STB1","STE12","STP1","STP2","SUM1","SWI4","SWI5","SWI6","YAP1","YAP5","YAP6","YFL044C","YJL206C","ZAP1","ZMS1"
1.04,0,1,0.169128029,0.538311983,0.009760499,-0.321953432,-0.197506055,-0.019131988,0.687699365,-0.133577688,-0.735599624,0.496940868,0.257830005,0.426652928,0.059555469,-0.009985277,-0.268534939,-0.13263385,0.73985605,-0.002791978,0.351319632,0.086034239,-0.014623559,-0.462999053,0.642889329,-0.004200775,-0.538866376,0.187826011,0.023886664,-0.412678487,-0.092114296,-0.715264789,-0.00921913,-0.402407482,-0.485561238,-0.029219807,-0.135433892,0.0041546,-0.010500211,0.010219979,-0.34814793,-0.091930262,-0.013946104,0.798392324,0.980492811,-0.122014057,0.205237725,0.540926143,0.444228468,-0.564841743,1.81369062,-0.079000307,0.594977377,-0.306016941,-0.302307212,0.30804476,-0.142359242,-0.149240767,-0.877484207,0.406220124,-0.07604852,-0.16732896,0.598393125,-0.736221812,0.284320221,1.555718206,-0.528091523,-0.674920441,-0.164606903,0.933609272,0.407461745,-0.083959188,0.22169139,-0.131921839,0.056242235,-0.063408386,-0.198818741,-0.231735238,-0.254156816,0.425201788,0.420258927,0.123029787,-0.389960044,-0.38915218,0.137689226,0.015503707,-0.252334444,-0.48283382,0.650445661,0.419356588,0.695940824,-0.180860536,-0.642500626,0.024909262,-0.259022079,-0.235756687,-0.383033883,0.211907571
0.19,7,1,0.169128029,0.538311983,0.009760499,-0.321953432,-0.197506055,-0.019131988,0.687699365,-0.133577688,-0.735599624,0.496940868,0.257830005,0.426652928,0.059555469,-0.009985277,-0.268534939,-0.13263385,0.73985605,-0.002791978,0.351319632,0.086034239,-0.014623559,-0.462999053,0.642889329,-0.004200775,-0.538866376,0.187826011,0.023886664,-0.412678487,-0.092114296,-0.715264789,-0.00921913,-0.402407482,-0.485561238,-0.029219807,-0.135433892,0.0041546,-0.010500211,0.010219979,-0.34814793,-0.091930262,-0.013946104,0.798392324,0.980492811,-0.122014057,0.205237725,0.540926143,0.444228468,-0.564841743,1.81369062,-0.079000307,0.594977377,-0.306016941,-0.302307212,0.30804476,-0.142359242,-0.149240767,-0.877484207,0.406220124,-0.07604852,-0.16732896,0.598393125,-0.736221812,0.284320221,1.555718206,-0.528091523,-0.674920441,-0.164606903,0.933609272,0.407461745,-0.083959188,0.22169139,-0.131921839,0.056242235,-0.063408386,-0.198818741,-0.231735238,-0.254156816,0.425201788,0.420258927,0.123029787,-0.389960044,-0.38915218,0.137689226,0.015503707,-0.252334444,-0.48283382,0.650445661,0.419356588,0.695940824,-0.180860536,-0.642500626,0.024909262,-0.259022079,-0.235756687,-0.383033883,0.211907571
0.47,14,1,0.169128029,0.538311983,0.009760499,-0.321953432,-0.197506055,-0.019131988,0.687699365,-0.133577688,-0.735599624,0.496940868,0.257830005,0.426652928,0.059555469,-0.009985277,-0.268534939,-0.13263385,0.73985605,-0.002791978,0.351319632,0.086034239,-0.014623559,-0.462999053,0.642889329,-0.004200775,-0.538866376,0.187826011,0.023886664,-0.412678487,-0.092114296,-0.715264789,-0.00921913,-0.402407482,-0.485561238,-0.029219807,-0.135433892,0.0041546,-0.010500211,0.010219979,-0.34814793,-0.091930262,-0.013946104,0.798392324,0.980492811,-0.122014057,0.205237725,0.540926143,0.444228468,-0.564841743,1.81369062,-0.079000307,0.594977377,-0.306016941,-0.302307212,0.30804476,-0.142359242,-0.149240767,-0.877484207,0.406220124,-0.07604852,-0.16732896,0.598393125,-0.736221812,0.284320221,1.555718206,-0.528091523,-0.674920441,-0.164606903,0.933609272,0.407461745,-0.083959188,0.22169139,-0.131921839,0.056242235,-0.063408386,-0.198818741,-0.231735238,-0.254156816,0.425201788,0.420258927,0.123029787,-0.389960044,-0.38915218,0.137689226,0.015503707,-0.252334444,-0.48283382,0.650445661,0.419356588,0.695940824,-0.180860536,-0.642500626,0.024909262,-0.259022079,-0.235756687,-0.383033883,0.211907571
-1.03,21,1,0.169128029,0.538311983,0.009760499,-0.321953432,-0.197506055,-0.019131988,0.687699365,-0.133577688,-0.735599624,0.496940868,0.257830005,0.426652928,0.059555469,-0.009985277,-0.268534939,-0.13263385,0.73985605,-0.002791978,0.351319632,0.086034239,-0.014623559,-0.462999053,0.642889329,-0.004200775,-0.538866376,0.187826011,0.023886664,-0.412678487,-0.092114296,-0.715264789,-0.00921913,-0.402407482,-0.485561238,-0.029219807,-0.135433892,0.0041546,-0.010500211,0.010219979,-0.34814793,-0.091930262,-0.013946104,0.798392324,0.980492811,-0.122014057,0.205237725,0.540926143,0.444228468,-0.564841743,1.81369062,-0.079000307,0.594977377,-0.306016941,-0.302307212,0.30804476,-0.142359242,-0.149240767,-0.877484207,0.406220124,-0.07604852,-0.16732896,0.598393125,-0.736221812,0.284320221,1.555718206,-0.528091523,-0.674920441,-0.164606903,0.933609272,0.407461745,-0.083959188,0.22169139,-0.131921839,0.056242235,-0.063408386,-0.198818741,-0.231735238,-0.254156816,0.425201788,0.420258927,0.123029787,-0.389960044,-0.38915218,0.137689226,0.015503707,-0.252334444,-0.48283382,0.650445661,0.419356588,0.695940824,-0.180860536,-0.642500626,0.024909262,-0.259022079,-0.235756687,-0.383033883,0.211907571
-0.63,28,1,0.169128029,0.538311983,0.009760499,-0.321953432,-0.197506055,-0.019131988,0.687699365,-0.133577688,-0.735599624,0.496940868,0.257830005,0.426652928,0.059555469,-0.009985277,-0.268534939,-0.13263385,0.73985605,-0.002791978,0.351319632,0.086034239,-0.014623559,-0.462999053,0.642889329,-0.004200775,-0.538866376,0.187826011,0.023886664,-0.412678487,-0.092114296,-0.715264789,-0.00921913,-0.402407482,-0.485561238,-0.029219807,-0.135433892,0.0041546,-0.010500211,0.010219979,-0.34814793,-0.091930262,-0.013946104,0.798392324,0.980492811,-0.122014057,0.205237725,0.540926143,0.444228468,-0.564841743,1.81369062,-0.079000307,0.594977377,-0.306016941,-0.302307212,0.30804476,-0.142359242,-0.149240767,-0.877484207,0.406220124,-0.07604852,-0.16732896,0.598393125,-0.736221812,0.284320221,1.555718206,-0.528091523,-0.674920441,-0.164606903,0.933609272,0.407461745,-0.083959188,0.22169139,-0.131921839,0.056242235,-0.063408386,-0.198818741,-0.231735238,-0.254156816,0.425201788,0.420258927,0.123029787,-0.389960044,-0.38915218,0.137689226,0.015503707,-0.252334444,-0.48283382,0.650445661,0.419356588,0.695940824,-0.180860536,-0.642500626,0.024909262,-0.259022079,-0.235756687,-0.383033883,0.211907571
-0.68,35,1,0.169128029,0.538311983,0.009760499,-0.321953432,-0.197506055,-0.019131988,0.687699365,-0.133577688,-0.735599624,0.496940868,0.257830005,0.426652928,0.059555469,-0.009985277,-0.268534939,-0.13263385,0.73985605,-0.002791978,0.351319632,0.086034239,-0.014623559,-0.462999053,0.642889329,-0.004200775,-0.538866376,0.187826011,0.023886664,-0.412678487,-0.092114296,-0.715264789,-0.00921913,-0.402407482,-0.485561238,-0.029219807,-0.135433892,0.0041546,-0.010500211,0.010219979,-0.34814793,-0.091930262,-0.013946104,0.798392324,0.980492811,-0.122014057,0.205237725,0.540926143,0.444228468,-0.564841743,1.81369062,-0.079000307,0.594977377,-0.306016941,-0.302307212,0.30804476,-0.142359242,-0.149240767,-0.877484207,0.406220124,-0.07604852,-0.16732896,0.598393125,-0.736221812,0.284320221,1.555718206,-0.528091523,-0.674920441,-0.164606903,0.933609272,0.407461745,-0.083959188,0.22169139,-0.131921839,0.056242235,-0.063408386,-0.198818741,-0.231735238,-0.254156816,0.425201788,0.420258927,0.123029787,-0.389960044,-0.38915218,0.137689226,0.015503707,-0.252334444,-0.48283382,0.650445661,0.419356588,0.695940824,-0.180860536,-0.642500626,0.024909262,-0.259022079,-0.235756687,-0.383033883,0.211907571
0.1,42,1,0.169128029,0.538311983,0.009760499,-0.321953432,-0.197506055,-0.019131988,0.687699365,-0.133577688,-0.735599624,0.496940868,0.257830005,0.426652928,0.059555469,-0.009985277,-0.268534939,-0.13263385,0.73985605,-0.002791978,0.351319632,0.086034239,-0.014623559,-0.462999053,0.642889329,-0.004200775,-0.538866376,0.187826011,0.023886664,-0.412678487,-0.092114296,-0.715264789,-0.00921913,-0.402407482,-0.485561238,-0.029219807,-0.135433892,0.0041546,-0.010500211,0.010219979,-0.34814793,-0.091930262,-0.013946104,0.798392324,0.980492811,-0.122014057,0.205237725,0.540926143,0.444228468,-0.564841743,1.81369062,-0.079000307,0.594977377,-0.306016941,-0.302307212,0.30804476,-0.142359242,-0.149240767,-0.877484207,0.406220124,-0.07604852,-0.16732896,0.598393125,-0.736221812,0.284320221,1.555718206,-0.528091523,-0.674920441,-0.164606903,0.933609272,0.407461745,-0.083959188,0.22169139,-0.131921839,0.056242235,-0.063408386,-0.198818741,-0.231735238,-0.254156816,0.425201788,0.420258927,0.123029787,-0.389960044,-0.38915218,0.137689226,0.015503707,-0.252334444,-0.48283382,0.650445661,0.419356588,0.695940824,-0.180860536,-0.642500626,0.024909262,-0.259022079,-0.235756687,-0.383033883,0.211907571
-0.02,49,1,0.169128029,0.538311983,0.009760499,-0.321953432,-0.197506055,-0.019131988,0.687699365,-0.133577688,-0.735599624,0.496940868,0.257830005,0.426652928,0.059555469,-0.009985277,-0.268534939,-0.13263385,0.73985605,-0.002791978,0.351319632,0.086034239,-0.014623559,-0.462999053,0.642889329,-0.004200775,-0.538866376,0.187826011,0.023886664,-0.412678487,-0.092114296,-0.715264789,-0.00921913,-0.402407482,-0.485561238,-0.029219807,-0.135433892,0.0041546,-0.010500211,0.010219979,-0.34814793,-0.091930262,-0.013946104,0.798392324,0.980492811,-0.122014057,0.205237725,0.540926143,0.444228468,-0.564841743,1.81369062,-0.079000307,0.594977377,-0.306016941,-0.302307212,0.30804476,-0.142359242,-0.149240767,-0.877484207,0.406220124,-0.07604852,-0.16732896,0.598393125,-0.736221812,0.284320221,1.555718206,-0.528091523,-0.674920441,-0.164606903,0.933609272,0.407461745,-0.083959188,0.22169139,-0.131921839,0.056242235,-0.063408386,-0.198818741,-0.231735238,-0.254156816,0.425201788,0.420258927,0.123029787,-0.389960044,-0.38915218,0.137689226,0.015503707,-0.252334444,-0.48283382,0.650445661,0.419356588,0.695940824,-0.180860536,-0.642500626,0.024909262,-0.259022079,-0.235756687,-0.383033883,0.211907571
0.53,56,1,0.169128029,0.538311983,0.009760499,-0.321953432,-0.197506055,-0.019131988,0.687699365,-0.133577688,-0.735599624,0.496940868,0.257830005,0.426652928,0.059555469,-0.009985277,-0.268534939,-0.13263385,0.73985605,-0.002791978,0.351319632,0.086034239,-0.014623559,-0.462999053,0.642889329,-0.004200775,-0.538866376,0.187826011,0.023886664,-0.412678487,-0.092114296,-0.715264789,-0.00921913,-0.402407482,-0.485561238,-0.029219807,-0.135433892,0.0041546,-0.010500211,0.010219979,-0.34814793,-0.091930262,-0.013946104,0.798392324,0.980492811,-0.122014057,0.205237725,0.540926143,0.444228468,-0.564841743,1.81369062,-0.079000307,0.594977377,-0.306016941,-0.302307212,0.30804476,-0.142359242,-0.149240767,-0.877484207,0.406220124,-0.07604852,-0.16732896,0.598393125,-0.736221812,0.284320221,1.555718206,-0.528091523,-0.674920441,-0.164606903,0.933609272,0.407461745,-0.083959188,0.22169139,-0.131921839,0.056242235,-0.063408386,-0.198818741,-0.231735238,-0.254156816,0.425201788,0.420258927,0.123029787,-0.389960044,-0.38915218,0.137689226,0.015503707,-0.252334444,-0.48283382,0.650445661,0.419356588,0.695940824,-0.180860536,-0.642500626,0.024909262,-0.259022079,-0.235756687,-0.383033883,0.211907571
0.68,63,1,0.169128029,0.538311983,0.009760499,-0.321953432,-0.197506055,-0.019131988,0.687699365,-0.133577688,-0.735599624,0.496940868,0.257830005,0.426652928,0.059555469,-0.009985277,-0.268534939,-0.13263385,0.73985605,-0.002791978,0.351319632,0.086034239,-0.014623559,-0.462999053,0.642889329,-0.004200775,-0.538866376,0.187826011,0.023886664,-0.412678487,-0.092114296,-0.715264789,-0.00921913,-0.402407482,-0.485561238,-0.029219807,-0.135433892,0.0041546,-0.010500211,0.010219979,-0.34814793,-0.091930262,-0.013946104,0.798392324,0.980492811,-0.122014057,0.205237725,0.540926143,0.444228468,-0.564841743,1.81369062,-0.079000307,0.594977377,-0.306016941,-0.302307212,0.30804476,-0.142359242,-0.149240767,-0.877484207,0.406220124,-0.07604852,-0.16732896,0.598393125,-0.736221812,0.284320221,1.555718206,-0.528091523,-0.674920441,-0.164606903,0.933609272,0.407461745,-0.083959188,0.22169139,-0.131921839,0.056242235,-0.063408386,-0.198818741,-0.231735238,-0.254156816,0.425201788,0.420258927,0.123029787,-0.389960044,-0.38915218,0.137689226,0.015503707,-0.252334444,-0.48283382,0.650445661,0.419356588,0.695940824,-0.180860536,-0.642500626,0.024909262,-0.259022079,-0.235756687,-0.383033883,0.211907571
